code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL020003,AL,331.87119959999995,PINUS NIGRA SSP AUSTR.,2020.7,1763,2320,high,12906.11,37.07434,-3.00211,NA,1,0,0,0,1,2,0,0,NA,3,2,2,1,0,1,0,0,1,3,3,2,1,1,0,2,2
AL020004,AL,145.4765099,PINUS NIGRA SSP AUSTR.,1874,1732,2002,high,9465.37,37.0519,-2.9817,NA,1,0,0,1,3,2,0,0,NA,2,2,3,2,1,1,0,0,2,4,4,2,1,1,1,1,1
AL020005,AL,21.2039218,PINUS NIGRA SSP AUSTR.,1624.7,1510,1736,medium,2428.92,37.04124,-2.98637,NA,0,0,0,0,1,1,0,0,NA,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1
AL020006,AL,40.1344755,PINUS NIGRA SSP AUSTR.,1700.58,1642,1761,high,3765.08,37.03845,-2.97763,NA,0,0,0,0,1,1,0,0,NA,1,1,1,1,0,0,0,0,1,2,1,1,0,1,0,0,1
AL020007,AL,10.431113999999999,PINUS NIGRA SSP AUSTR.,1653.96,1622,1690,medium,1557.69,37.03871,-2.98233,1,0,0,0,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1
AL020008,AL,28.660914899999998,PINUS NIGRA SSP AUSTR.,1606.84,1505,1695,medium,4397.16,37.03546,-2.9779,NA,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,NA,0,1,2,1,1,0,0,0,0,1
AL020009,AL,124.82917139999999,PINUS NIGRA SSP AUSTR.,1430.01,1283,1641,medium,6575.88,37.02245,-2.97627,1,0,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,0,1
AL021001,AL,50.6524931,PINUS HALEPENSIS,796.15,720,892,low,3662.47,37.3362,-2.42574,NA,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1
AL021002,AL,47.3312231,PINUS HALEPENSIS,923.96,766,1022,low,4866.54,37.33049,-2.45979,NA,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
AL021003,AL,68.8178046,PINUS HALEPENSIS,1159.15,1019,1254,low,4493.38,37.32387,-2.47307,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AL021004,AL,64.2271641,PINUS HALEPENSIS,1045.86,806,1269,low,7049.09,37.31716,-2.44461,NA,2,0,0,0,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,4,4,2,2
AL021005,AL,237.6661221,PINUS HALEPENSIS,1216.42,988,1369,medium,8665.48,37.31556,-2.46693,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL021006,AL,42.540089,PINUS HALEPENSIS,1100.54,959,1231,low,3665.86,37.32183,-2.46869,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1
AL021007,AL,24.5919107,PINUS PINASTER,1239.28,1151,1380,medium,3965.01,37.30972,-2.42349,NA,2,0,0,4,1,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,1,3,4,3,4
